PSU2_Status      | 0x1        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
NMI_Status       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
CMOSBattery      | 0x4        | discrete   | 0x0480| na        | na        | na        | na        | na        | na        
FAN_Power        | 33.000     | Watts      | ok    | na        | na        | na        | na        | na        | na        
FAN_PRESENT_01   | 0x2        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
FAN_PRESENT_02   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN_PRESENT_03   | 0x2        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
FAN_PRESENT_04   | 0x2        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
FAN_PRESENT_05   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN_PRESENT_06   | 0x2        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
NVME_TEMP_4.0    | na         | degrees C  | na    | na        | na        | na        | 70.000    | 71.000    | 72.000    
GPU_HBMTEMP      | na         | degrees C  | na    | na        | na        | na        | 85.000    | 87.000    | 90.000    
SLOT01-GPU_TEMP  | na         | degrees C  | na    | na        | na        | na        | 85.000    | 87.000    | 90.000    
SLOT02-GPU_TEMP  | na         | degrees C  | na    | na        | na        | na        | 85.000    | 87.000    | 90.000    
SLOT03-GPU_TEMP  | na         | degrees C  | na    | na        | na        | na        | 85.000    | 87.000    | 90.000    
SLOT04-GPU_TEMP  | na         | degrees C  | na    | na        | na        | na        | 85.000    | 87.000    | 90.000    
SLOT05-GPU_TEMP  | na         | degrees C  | na    | na        | na        | na        | 85.000    | 87.000    | 90.000    
SLOT06-GPU_TEMP  | na         | degrees C  | na    | na        | na        | na        | 85.000    | 87.000    | 90.000    
SLOT07-GPU_TEMP  | na         | degrees C  | na    | na        | na        | na        | 85.000    | 87.000    | 90.000    
SLOT08-GPU_TEMP  | na         | degrees C  | na    | na        | na        | na        | 85.000    | 87.000    | 90.000    
SLOT09-GPU_TEMP  | na         | degrees C  | na    | na        | na        | na        | 85.000    | 87.000    | 90.000    
SLOT10-GPU_TEMP  | na         | degrees C  | na    | na        | na        | na        | 85.000    | 87.000    | 90.000    
GPU_MAXTEMP      | na         | degrees C  | na    | na        | na        | na        | 85.000    | 87.000    | 90.000    
BP1_9A_TEMP      | 28.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
BP1_9C_TEMP      | 28.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
BP1_98_TEMP      | na         | degrees C  | na    | na        | na        | na        | na        | na        | na        
BP2_9A_TEMP      | 28.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
BP2_9C_TEMP      | 28.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
BP1_90_TEMP      | na         | degrees C  | na    | na        | na        | na        | na        | na        | na        
BP3_9A_TEMP      | na         |            | na    | na        | na        | na        | na        | na        | na        
BP3_9C_TEMP      | na         |            | na    | na        | na        | na        | na        | na        | na        
BP1_EXP_TEMP     | na         |            | na    | na        | na        | na        | na        | na        | na        
MEM_Status_1A1   | 0x40       | discrete   | 0x4080| na        | na        | na        | na        | na        | na        
MEM_Status_1B1   | 0x40       | discrete   | 0x4080| na        | na        | na        | na        | na        | na        
MEM_Status_1C1   | 0x40       | discrete   | 0x4080| na        | na        | na        | na        | na        | na        
MEM_Status_1D1   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
MEM_Status_1E1   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
MEM_Status_1F1   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
MEM_Status_1G1   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
MEM_Status_1H1   | 0x40       | discrete   | 0x4080| na        | na        | na        | na        | na        | na        
MEM_Status_1I1   | 0x40       | discrete   | 0x4080| na        | na        | na        | na        | na        | na        
MEM_Status_1J1   | 0x40       | discrete   | 0x4080| na        | na        | na        | na        | na        | na        
MEM_Status_1K1   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
MEM_Status_1L1   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
MEM_Status_2A1   | 0x40       | discrete   | 0x4080| na        | na        | na        | na        | na        | na        
MEM_Status_2B1   | 0x40       | discrete   | 0x4080| na        | na        | na        | na        | na        | na        
MEM_Status_2C1   | 0x40       | discrete   | 0x4080| na        | na        | na        | na        | na        | na        
MEM_Status_2D1   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
MEM_Status_2E1   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
MEM_Status_2F1   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
MEM_Status_2G1   | 0x40       | discrete   | 0x4080| na        | na        | na        | na        | na        | na        
MEM_Status_2H1   | 0x40       | discrete   | 0x4080| na        | na        | na        | na        | na        | na        
MEM_Status_2I1   | 0x40       | discrete   | 0x4080| na        | na        | na        | na        | na        | na        
MEM_Status_2J1   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
MEM_Status_2K1   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
MEM_Status_2L1   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
BMC_Boot_Up      | 0x2        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
BIOS_Boot_Up     | 0x2        | discrete   | 0x0280| na        | na        | na        | na        | na        | na        
BP2_98_TEMP      | na         | degrees C  | na    | na        | na        | na        | na        | na        | na        
BP2_90_TEMP      | na         | degrees C  | na    | na        | na        | na        | na        | na        | na        
BP3_98_TEMP      | na         |            | na    | na        | na        | na        | na        | na        | na        
BP3_90_TEMP      | na         |            | na    | na        | na        | na        | na        | na        | na        
RBP1_98_TEMP     | na         |            | na    | na        | na        | na        | na        | na        | na        
RBP1_9C_TEMP     | na         |            | na    | na        | na        | na        | na        | na        | na        
RBP3_90_TEMP     | na         |            | na    | na        | na        | na        | na        | na        | na        
RBP2_9C_TEMP     | na         |            | na    | na        | na        | na        | na        | na        | na        
RBP2_98_TEMP     | na         |            | na    | na        | na        | na        | na        | na        | na        
RBP2_EXP_TEMP    | na         |            | na    | na        | na        | na        | na        | na        | na        
CPU_VR_TEMP_01   | 39.000     | degrees C  | ok    | na        | na        | na        | 100.000   | 101.000   | 102.000   
CPU_VR_TEMP_02   | 40.000     | degrees C  | ok    | na        | na        | na        | 100.000   | 101.000   | 102.000   
RAIDStatus       | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
NVME_TEMP_5.0    | na         | degrees C  | na    | na        | na        | na        | 77.000    | 78.000    | 79.000    
